pregunta,respuesta
68) V o F. UN VALOR DE HEREDABILIDAD ELEVADO PARA UN RASGO ANATÓMICO O FISIOLÓGICO EN PARTICULAR NOS PERMITE AFIRMAR QUE DICHO RASGO ESTA DETERMINADO GENÉTICAMENTE. NO ES POSIBLE LLEGAR A LA MISMA AFIRMACIÓN SI SE TRATA DE UN RASGO PSICOLÓGICO.,FALSO
79) El experimento de Kanzi (bonobo) mostró que la única diferencia entre el hombre y los primates no humanos radica en el aparato fonador de allí que ellos no pueden tener habla. V/ F,FALSO
"80) Según Skinner, “el lenguaje es una capacidad exclusivamente humana”. V/ F",FALSO
81) El máximo logro en los experimentos con primates no humanos fue que asociaran palabras con símbolos en un teclado . V/F,FALSO
82) Si un rasgo tiene alta heredabilidad es inmodificable. V/ F,FALSO
"83) la Heredabilidad aumenta, pero no disminuye a lo largo del desarrollo ontogénico. V/",FALSO
78) Los experimentos con simios mostraron que la expresión del lenguaje parecía haberse desarrollado antes que la comprensión del mismo V/ F,VERDADERO
20) V/F. Tanto la estructura general de la frase como las estructuras de los argumentos... es una evidencia firme que se contradice con el enfoque conductista del lenguaje y afirma la posición de los lingüistas.,VERDADERO
21) V/F. EL lenguaje es una versión modificada de una estructura que tuvo alguna vez otra función siendo la selección natural la fuerza modificadora.,VERDADERO
"73) Si al seleccionar artificialmente para un rasgo comportamental, no se logran líneas de individuos diferenciados para dicha conducta, puedo considerar que la heredabilidad para dicho rasgo, en ese ambiente, es muy baja. V/ F.",FALSO
"74) El término determinación genética es una noción informal e intuitiva que no posee definición científica concreta, justamente porque parte del error conceptual de creer que un fenotipo puede ser causado por un genotipo V/ F.",VERDADERO
"75) La evaluación del origen del lenguaje, debe hacerse en todas aquellas formas de homínidos que existieron desde el momento en que suponemos se originó el protolenguaje, hasta la actualidad y como el lenguaje se fosiliza tenemos evidencias directas que permiten entender tanto su origen como evolución V/ F.",FALSO
"76) En la visión nativista, decir que el lenguaje no se aprende como cualquiera otra habilidad cognitiva, no quiere decir que se pueda prescindir del ambiente o que el aprendizaje no tenga rol alguno. Una de las primeras cuestiones que deberemos resolver es, que aspecto de la facultad del lenguaje se aprende de los aportes del ambiente y cuales surgen como producto de la actividad propia específica del cerebro (incluyendo la habilidad de aprender la partes que son aprendidas). V/ F",VERDADERO
"71) CUANDO SE LOGRA DESCUBRIR EL O LOS GENES INVOLUCRADOS EN UN RASGO DETERMINADO, AÚN TIENE SENTIDO ESTUDIAR EL VALOR DE HEREDABILIDAD DE DICHO RANGO V o F.",VERDADERO
"92) Cuando la estabilidad que presenta un rasgo comportamental a lo largo del desarrollo de un individuo es baja, consideramos que dicho rasgo es dependiente de las hormonas.  V/ F 
",FALSO
"94) Tanto el área de Broca como de Wernicke no existen en los primates no humanos. Esta evidencia nos permite afirmar que el lenguaje es una capacidad exclusiva de la especie humana. V/ F 
",FALSO
56) El rol de una cultura es de una magnitud tan importante en las sociedades humanas que carece de sentido evaluar sus estrategias de elección de pareja en el marco de la teoría evolutiva. V / F,FALSO
57) Los hombres más que las mujeres valorarán los recursos y la laboriosidad de su pareja. V / F,FALSO
58) Los machos más que las hembras deben evaluar la calidad de la pareja. V/ F,FALSO
56) El rol de una cultura es de una magnitud tan importante en las sociedades humanas que carece de sentido evaluar sus estrategias de elección de pareja en el marco de la teoría evolutiva. V / F,FALSO
57) Los hombres más que las mujeres valorarán los recursos y la laboriosidad de su pareja. V / F,FALSO
