pregunta,respuesta
20) V/F. Tanto la estructura general de la frase como las estructuras de los argumentos... es una evidencia firme que se contradice con el enfoque conductista del lenguaje y afirma la posición de los lingüistas.,VERDADERO
21) V/F. EL lenguaje es una versión modificada de una estructura que tuvo alguna vez otra función siendo la selección natural la fuerza modificadora.,VERDADERO
24) V/F. Algunos pacientes con afasia de broca presentan déficit en la manipulación de objetos. Esto apoyaría una posible relación entre el uso de herramientas y el surgimiento del lenguaje.,VERDADERO
1) La heredabilidad es igual a la suma de los porcentajes x 100 (V ó F).,FALSO
"3) Cuando se logra descubrir el o los genes involucrados en un rasgo determinado, aún sigue teniendo sentido estudiar el valor de heredabilidad de dicho rasgo (V ó F).",VERDADERO
17) El modelo epigenético es aplicable a todos los rasgos y especies conocidas (V ó F).,VERDADERO
19) Los períodos críticos sólo están presentes en humanos (V ó F),FALSO
20) El desarrollo de los comportamientos en humanos implica el uso de un modelo especial denominado “tabula rasa” por el cual nacemos sin pautas específicas y todos los cambios dependen del ambiente (V ó F).,FALSO
21) Un rasgo que se desarrolla mediante un proceso de maduración es posible de modificar mediante cambios del ambiente (V ó F).,VERDADERO
27) Los genes se mantienen invariables a lo largo del desarrollo. Sólo pueden ser modificados por efecto de mutaciones y el ambiente (V ó F).,FALSO
28) La lateralización en el uso de las manos coincide con áreas especializadas del lenguaje en el hemisferio izquierdo lo que indica que ambos están relacionados (V ó F).,VERDADERO
29) El genoma que dispone un sujeto es único y no cambia durante su vida (V ó F).,VERDADERO
30) la heredabilidad de un rasgo no puede cambiar por sólo modificar el ambiente (V ó F).,FALSO
32) ¿Los rasgos comportamentales adquiridos por maduración en un individuo pueden modificarse por el ambiente? (V ó F).,VERDADERO
33) Cualquier estímulo puede producir cambios en el desarrollo del individuo (V ó F).,FALSO
34) La anisogamia y la inversión parental son los principales responsables de las estrategias sexuales para cada sexo (V ó F).,VERDADERO
"38) Es insostenible suponer que el lenguaje puede haber evolucionado por selección natural, ya que, la aparición del rasgo no habría brindado ventaja alguna al poseedor (V ó F)",FALSO
39) Se relaciona el surgimiento del lenguaje y la fabricación y uso de herramientas porque cuando hay déficit del lenguaje hay también déficit en la manipulación de objetos (V ó F).,VERDADERO
40) El uso de la herramienta está relacionado con la adquisición del lenguaje (V ó F).,VERDADERO
41) Primero debió aparecer el pensamiento y luego el lenguaje (V ó F).,VERDADERO
"42) Es condición necesaria para el origen del lenguaje el descenso de la laringe (V ó F).
",FALSO
43) Chomsky consideraba que el lenguaje es una habilidad más de las capacidades cognitivas (V ó F).,FALSO
44) Vicky pudo demostrar que era necesario una reconcepción de lo que se entendía por lenguaje (V ó F).,VERDADERO
45) Las lesiones que producen déficit del lenguaje se acompañan con frecuencia con alteraciones en la manipulación de objetos. Esta evidencia permite relacionar el surgimiento del lenguaje y la fabricación y uso de herramientas (V ó F).,VERDADERO
46) La heredabilidad de los rasgos permanece inalterada durante la ontogenia de los individuos (V ó F).,FALSO
47) Conocer la heredabilidad de un rasgo en particular no permite predecir cómo serán los individuos de la siguiente generación en ese rasgo particular (V ó F),VERDADERO
48) Los hombres se fijan más en el aspecto que las mujeres a la hora de conseguir pareja (V ó F).,VERDADERO
