pregunta,respuesta
2) V/F. Cuando se logra descubrir el o los genes involucrados en un rasgo determinado ya no tiene sentido estudiar el valor de la heredabilidad de dicho rango.F,FALSO
6) V/F. Si la heredabilidad para el trastorno obsesivo compulsivo es de 90% la proporción de sujetos padecerán la patología en la próxima generación será similar a la actual dado el alto índice de transmisión genética del rasgo.,FALSO
"9) V/F. La infidelidad de sexo se explica sólo por razones culturales, ya que, no hay justificaciones posibles al engaño desde un punto de vista biológico, ya que, viola el principio de optimación del éxito reproductivo.",FALSO
10) V/F. El incremento del número de parejas en las hembras les asegura incrementar su éxito reproductivo independientemente de las características de éstas.,FALSO
"116)La heredabilidad es un indicador de cuán determinado genéticamente está un rasgo. V o F. 
",FALSO
120) Para entender los conflictos entre sexos es necesario reconocer el modo en que cada uno puede maximizar su éxito reproductivo. V/F,VERDADERO
121) Los hombres más que las mujeres valoran los recursos y laboriosidad de su pareja. V/F,FALSO
"22) V/F. La evolución de una jerga a una lengua criolla podría ser comparable al cambio de un protolenguaje a un lenguaje y, por lo tanto, su estudio puede contribuir al análisis de la evolución de las habilidades lingüísticas.",VERDADERO
122) Cuando evaluamos por qué las estrategias reproductivas de machos y hembras son distintas no nos importan cuantas gametas posee cada uno para reproducirse ni el costo de las mismas. V/F,FALSO
"106) Dijo el Dr. Gonzáles Gisnasteri “La complejidad del proceso ontogenético queda evidenciada cuando encontramos que un mismo factor o variable interna (ej.: nivel de una hormona) puede a lo largo del desarrollo de un individuo tener efectos tan disímiles como, ser organizativo en un periodo temprano y de activación funcional, de esa misma estructura, posteriormente”. Ya que el genoma que dispone un sujeto es único y no cambia durante su vida no puede ocurrir semejante proceso. V o F
",FALSO
"117) Un comportamiento complejo como los rasgos de personalidad no puede tener valores de heredabilidad más altos que el cáncer de mama; patología para la cual se han identificado los genes mutados responsables de la misma. V o F.
",FALSO
"105) La complejización de las interacciones y vínculos sociales pudo ser una presión selectiva para el surgimiento del lenguaje.  V o F
",VERDADERO
"101) La heredabilidad de patologías somáticas (ej. Hipertensión), siempre es mayor que la de patologías complejas del comportamiento (ej. Alcoholismo) ya que es norma que los rasgos comportamentales tienen mayor influencia ambiental que los somáticos: V o F
",FALSO
"99) Los períodos críticos están presentes sólo en humanos y durante los primeros días de vida. V / F 
",FALSO
"102) Como el ambiente nunca afecta por igual a cada par de gemelos o mellizos entonces la estimación de la heredabilidad no es confiable. V o F
",FALSO
"103) El descenso de la laringe fue una condición necesaria para que surgiera
",FALSO
"97)Tanto la existencia de una estructura universal de la Frase, como la estructura de Argumentos de los Verbos o los Elementos Nulos; son evidencias que respaldan el enfoque conductista sobre la problemática del Lenguaje. V/ F 
",FALSO
58) Los machos más que las hembras deben evaluar la calidad de la pareja. V/ F,FALSO
24) V/F. Algunos pacientes con afasia de broca presentan déficit en la manipulación de objetos. Esto apoyaría una posible relación entre el uso de herramientas y el surgimiento del lenguaje.,VERDADERO
1) La heredabilidad es igual a la suma de los porcentajes x 100 (V ó F).,FALSO
"3) Cuando se logra descubrir el o los genes involucrados en un rasgo determinado, aún sigue teniendo sentido estudiar el valor de heredabilidad de dicho rasgo (V ó F).",VERDADERO
17) El modelo epigenético es aplicable a todos los rasgos y especies conocidas (V ó F).,VERDADERO
"38) Es insostenible suponer que el lenguaje puede haber evolucionado por selección natural, ya que, la aparición del rasgo no habría brindado ventaja alguna al poseedor (V ó F)",FALSO
39) Se relaciona el surgimiento del lenguaje y la fabricación y uso de herramientas porque cuando hay déficit del lenguaje hay también déficit en la manipulación de objetos (V ó F).,VERDADERO
40) El uso de la herramienta está relacionado con la adquisición del lenguaje (V ó F).,VERDADERO
41) Primero debió aparecer el pensamiento y luego el lenguaje (V ó F).,VERDADERO
"42) Es condición necesaria para el origen del lenguaje el descenso de la laringe (V ó F).
",FALSO
43) Chomsky consideraba que el lenguaje es una habilidad más de las capacidades cognitivas (V ó F).,FALSO
44) Vicky pudo demostrar que era necesario una reconcepción de lo que se entendía por lenguaje (V ó F).,VERDADERO
45) Las lesiones que producen déficit del lenguaje se acompañan con frecuencia con alteraciones en la manipulación de objetos. Esta evidencia permite relacionar el surgimiento del lenguaje y la fabricación y uso de herramientas (V ó F).,VERDADERO
